artifact_id,model,method,checkov_rule_id,violation_class,v1_syntax_valid,v2_target_resolved,v3_new_issues_count,v4_lines_changed,v4_diff_ratio,overall_verified_fix,num_attempts,input_tokens,output_tokens,latency_seconds,error
BM-0140,claude-sonnet-4.6,structured,CKV_AWS_147,over_permissive_access,True,True,0,2,0.0333,True,1,704,598,6.38,
BM-0276,claude-sonnet-4.6,structured,CKV_AWS_163,over_permissive_access,True,False,0,4,0.0159,False,1,2345,2597,18.93,
BM-0277,claude-sonnet-4.6,structured,CKV_AWS_136,over_permissive_access,True,False,2,10,0.0398,False,1,2346,2692,20.21,
BM-0278,claude-sonnet-4.6,structured,CKV_AWS_51,over_permissive_access,True,False,0,3,0.012,False,1,2344,2587,18.7,
BM-0279,claude-sonnet-4.6,structured,CKV_AWS_32,over_permissive_access,True,False,0,3,0.012,False,1,2347,2587,18.97,
BM-0442,claude-sonnet-4.6,structured,CKV_AWS_137,network_hardening,True,True,0,10,0.3571,True,1,460,406,5.15,
BM-0443,claude-sonnet-4.6,structured,CKV_AWS_317,network_hardening,True,False,3,11,0.3929,False,1,460,483,5.79,
BM-0444,claude-sonnet-4.6,structured,CKV_AWS_228,network_hardening,True,False,0,5,0.1786,False,1,463,383,4.31,
BM-0445,claude-sonnet-4.6,structured,CKV_AWS_5,network_hardening,True,False,0,5,0.1786,False,1,464,331,4.78,
BM-0446,claude-sonnet-4.6,structured,CKV_AWS_247,network_hardening,True,False,0,6,0.2143,False,1,464,385,5.59,
BM-0447,claude-sonnet-4.6,structured,CKV_AWS_248,network_hardening,True,True,0,11,0.3929,True,1,461,402,4.6,
BM-0448,claude-sonnet-4.6,structured,CKV_AWS_84,network_hardening,True,False,0,6,0.2143,False,1,458,363,4.31,
BM-0449,claude-sonnet-4.6,structured,CKV_AWS_318,network_hardening,True,False,0,6,0.2143,False,1,466,385,5.42,
BM-0049,claude-sonnet-4.6,structured,CKV_AWS_79,public_exposure,True,False,0,7,0.125,False,1,863,801,6.9,
BM-0050,claude-sonnet-4.6,structured,CKV_AWS_389,public_exposure,True,True,0,4,0.0714,True,1,867,751,6.34,
BM-0051,claude-sonnet-4.6,structured,CKV_AWS_8,public_exposure,True,False,0,6,0.1071,False,1,870,767,6.76,
BM-0052,claude-sonnet-4.6,structured,CKV_AWS_315,public_exposure,True,True,1,47,0.8393,False,1,870,832,9.92,
BM-0262,claude-sonnet-4.6,structured,CKV_AWS_126,public_exposure,True,False,0,1,0.008,False,1,1092,1143,10.05,
BM-0263,claude-sonnet-4.6,structured,CKV_AWS_135,public_exposure,True,False,0,1,0.008,False,1,1091,1151,9.23,
BM-0002,claude-sonnet-4.6,structured,CKV_AWS_233,weak_observability,True,False,0,6,0.1364,False,1,563,418,4.08,
BM-0003,claude-sonnet-4.6,structured,CKV_AWS_234,weak_observability,True,True,0,2,0.0455,True,1,562,431,4.32,
BM-0039,claude-sonnet-4.6,structured,CKV_AWS_194,weak_observability,True,True,0,2,0.0606,True,1,538,400,4.5,
BM-0040,claude-sonnet-4.6,structured,CKV2_AWS_33,weak_observability,True,False,4,20,0.6061,False,1,538,818,8.09,
BM-0042,claude-sonnet-4.6,structured,CKV_AWS_193,weak_observability,True,True,0,5,0.2778,True,1,404,329,3.35,
BM-0075,claude-sonnet-4.6,structured,CKV_AWS_338,weak_observability,True,False,0,2,0.4,False,1,324,143,2.36,
BM-0056,claude-sonnet-4.6,structured,CKV_AWS_153,insecure_defaults,True,True,0,8,0.1379,True,1,804,738,6.5,
BM-0080,claude-sonnet-4.6,structured,CKV_AWS_34,insecure_defaults,True,False,0,4,0.0198,False,1,1786,1907,16.31,
BM-0081,claude-sonnet-4.6,structured,CKV_AWS_174,insecure_defaults,True,False,0,6,0.0297,False,1,1790,2018,15.17,
BM-0082,claude-sonnet-4.6,structured,CKV_AWS_68,insecure_defaults,True,False,0,4,0.0198,False,1,1779,1930,13.74,
BM-0083,claude-sonnet-4.6,structured,CKV_AWS_310,insecure_defaults,True,False,0,23,0.1139,False,1,1782,2078,15.1,
BM-0004,claude-sonnet-4.6,structured,CKV_AWS_150,other,True,False,0,1,0.0081,False,1,1273,1243,9.08,
BM-0005,claude-sonnet-4.6,structured,CKV_AWS_91,other,True,False,0,5,0.0403,False,1,1280,1266,10.47,
BM-0006,claude-sonnet-4.6,structured,CKV_AWS_127,other,True,False,0,2,0.0161,False,1,1283,1273,10.76,
BM-0007,claude-sonnet-4.6,structured,CKV_AWS_376,other,True,False,0,9,0.0726,False,1,1278,1546,14.69,
BM-0008,claude-sonnet-4.6,structured,CKV_AWS_328,other,True,False,0,2,0.0161,False,1,1280,1249,9.96,
BM-0015,claude-sonnet-4.6,verify_loop,CKV_AWS_235,missing_encryption,True,True,0,4,0.1081,True,2,1702,894,9.21,
BM-0016,claude-sonnet-4.6,verify_loop,CKV_AWS_236,missing_encryption,True,True,0,6,0.1622,True,3,2982,2281,29.189999999999998,
BM-0019,claude-sonnet-4.6,verify_loop,CKV_AWS_204,missing_encryption,True,True,0,12,0.16,True,2,2611,2427,26.27,
BM-0029,claude-sonnet-4.6,verify_loop,CKV_AWS_206,missing_encryption,True,True,0,2,0.087,True,1,515,368,4.82,
BM-0031,claude-sonnet-4.6,verify_loop,CKV_AWS_308,missing_encryption,True,True,0,2,0.0513,True,1,634,503,4.47,
BM-0032,claude-sonnet-4.6,verify_loop,CKV_AWS_225,missing_encryption,True,True,0,2,0.0513,True,1,633,524,5.1,
BM-0036,claude-sonnet-4.6,verify_loop,CKV_AWS_381,missing_encryption,True,True,0,7,0.1591,True,2,1970,1720,19.61,
BM-0037,claude-sonnet-4.6,verify_loop,CKV_AWS_264,missing_encryption,True,True,0,3,0.0612,True,1,699,606,5.17,
BM-0038,claude-sonnet-4.6,verify_loop,CKV_AWS_263,missing_encryption,True,True,0,2,0.023,True,1,826,773,6.68,
BM-0044,claude-sonnet-4.6,verify_loop,CKV_AWS_215,missing_encryption,True,True,0,11,0.4583,True,2,1658,843,8.870000000000001,
